
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
0.0   0   0.0500   |   1.15355   7.51564   |   1.50747   26.26477  
1.0   1   0.0500   |   0.96464   25.77867   |   1.24994   31.85654  
2.0   2   0.0500   |   0.64217   1.24016   |   0.70801   9.26177  
3.0   3   0.0500   |   0.47445   0.98016   |   0.70989   9.31883  
4.0   4   0.0500   |   0.38317   47.22786   |   0.61267   27.42775  
5.0   5   0.0500   |   0.33829   0.51708   |   1.93284   29.91756  
6.0   6   0.0500   |   0.20958   8.29696   |   0.36213   28.24472  
7.0   7   0.0500   |   0.15261   5.21503   |   1.48493   24.88610  
8.0   8   0.0500   |   0.13954   6.56745   |   0.88161   26.50874  
9.0   9   0.0500   |   0.11814   1.51031   |   0.99828   23.11312  
10.0   10   0.0500   |   0.09596   2.71211   |   0.68977   9.19171  
11.0   11   0.0500   |   0.07266   1.42111   |   1.04939   22.14564  
12.0   12   0.0500   |   0.07744   1.43696   |   0.72979   20.66187  
13.0   13   0.0500   |   0.08395   1.15288   |   0.34594   21.60596  
14.0   14   0.0500   |   0.07368   0.84914   |   0.25399   22.10371  
15.0   15   0.0500   |   0.06265   1.00360   |   0.53664   22.08440  
16.0   16   0.0500   |   0.05544   2.65699   |   0.21292   21.80422  
17.0   17   0.0500   |   0.04365   0.75243   |   0.34166   16.69204  
18.0   18   0.0500   |   0.07403   3.34290   |   0.66001   8.94295  
19.0   19   0.0500   |   0.07202   1.11259   |   0.65393   8.92463  
20.0   20   0.0500   |   0.06284   0.62513   |   0.64416   8.87734  
21.0   21   0.0500   |   0.07616   4.15804   |   0.97027   21.91744  
22.0   22   0.0500   |   0.05392   0.86833   |   1.29316   21.00680  
23.0   23   0.0500   |   0.07753   0.75442   |   1.38436   24.24675  
24.0   24   0.0500   |   0.07529   5.18599   |   0.05668   19.75361  
25.0   25   0.0500   |   0.08134   1.00698   |   0.50555   22.38718  
26.0   26   0.0500   |   0.03534   6.91857   |   0.57319   8.74343  
27.0   27   0.0500   |   0.03930   3.38979   |   1.05877   22.57974  
28.0   28   0.0500   |   0.03356   0.70114   |   0.24529   18.22760  
29.0   29   0.0500   |   0.08683   0.43825   |   0.55500   8.63892  
30.0   30   0.0500   |   0.03877   1.09529   |   0.38833   21.43482  
31.0   31   0.0500   |   0.02765   18.09186   |   1.09492   22.76574  
32.0   32   0.0500   |   0.03722   1.19441   |   0.51649   21.70894  
33.0   33   0.0500   |   0.02722   1.75804   |   0.59046   20.31044  
